type, name
item, wooden-chest
item, iron-chest
item, steel-chest
item, storage-tank
item, transport-belt
item, fast-transport-belt
item, express-transport-belt
item, turbo-transport-belt
item, underground-belt
item, fast-underground-belt
item, express-underground-belt
item, turbo-underground-belt
item, splitter
item, fast-splitter
item, express-splitter
item, turbo-splitter
item, burner-inserter
item, inserter
item, long-handed-inserter
item, fast-inserter
item, bulk-inserter
item, stack-inserter
item, small-electric-pole
item, medium-electric-pole
item, big-electric-pole
item, substation
item, pipe
item, pipe-to-ground
item, pump
item, rail
item, rail-ramp
item, rail-support
item, train-stop
item, rail-signal
item, rail-chain-signal
item, locomotive
item, cargo-wagon
item, fluid-wagon
item, artillery-wagon
item, car
item, tank
item, spidertron
item, logistic-robot
item, construction-robot
item, active-provider-chest
item, passive-provider-chest
item, storage-chest
item, buffer-chest
item, requester-chest
item, roboport
item, small-lamp
item, arithmetic-combinator
item, decider-combinator
item, selector-combinator
item, constant-combinator
item, power-switch
item, programmable-speaker
item, display-panel
item, stone-brick
item, concrete
item, hazard-concrete
item, refined-concrete
item, refined-hazard-concrete
item, landfill
item, artificial-yumako-soil
item, overgrowth-yumako-soil
item, artificial-jellynut-soil
item, overgrowth-jellynut-soil
item, ice-platform
item, foundation
item, cliff-explosives
item, repair-pack
item, blueprint
item, deconstruction-planner
item, upgrade-planner
item, blueprint-book
item, boiler
item, steam-engine
item, solar-panel
item, accumulator
item, nuclear-reactor
item, heat-pipe
item, heat-exchanger
item, steam-turbine
item, fusion-reactor
item, fusion-generator
item, burner-mining-drill
item, electric-mining-drill
item, big-mining-drill
item, offshore-pump
item, pumpjack
item, stone-furnace
item, steel-furnace
item, electric-furnace
item, foundry
item, recycler
item, agricultural-tower
item, biochamber
item, captive-biter-spawner
item, assembling-machine-1
item, assembling-machine-2
item, assembling-machine-3
item, oil-refinery
item, chemical-plant
item, centrifuge
item, electromagnetic-plant
item, cryogenic-plant
item, lab
item, biolab
item, lightning-rod
item, lightning-collector
item, heating-tower
item, beacon
item, speed-module
item, speed-module-2
item, speed-module-3
item, efficiency-module
item, efficiency-module-2
item, efficiency-module-3
item, productivity-module
item, productivity-module-2
item, productivity-module-3
item, quality-module
item, quality-module-2
item, quality-module-3
item, wood
item, coal
item, stone
item, iron-ore
item, copper-ore
item, uranium-ore
item, raw-fish
item, ice
item, iron-plate
item, copper-plate
item, steel-plate
item, solid-fuel
item, plastic-bar
item, sulfur
item, battery
item, explosives
item, carbon
item, water-barrel
item, crude-oil-barrel
item, petroleum-gas-barrel
item, light-oil-barrel
item, heavy-oil-barrel
item, lubricant-barrel
item, sulfuric-acid-barrel
item, fluoroketone-hot-barrel
item, fluoroketone-cold-barrel
item, iron-gear-wheel
item, iron-stick
item, copper-cable
item, barrel
item, electronic-circuit
item, advanced-circuit
item, processing-unit
item, engine-unit
item, electric-engine-unit
item, flying-robot-frame
item, low-density-structure
item, rocket-fuel
item, uranium-235
item, uranium-238
item, uranium-fuel-cell
item, depleted-uranium-fuel-cell
item, nuclear-fuel
item, calcite
item, tungsten-ore
item, tungsten-carbide
item, tungsten-plate
item, scrap
item, holmium-ore
item, holmium-plate
item, superconductor
item, supercapacitor
item, yumako-seed
item, jellynut-seed
item, tree-seed
item, yumako
item, jellynut
item, iron-bacteria
item, copper-bacteria
item, spoilage
item, nutrients
item, bioflux
item, yumako-mash
item, jelly
item, carbon-fiber
item, biter-egg
item, pentapod-egg
item, lithium
item, lithium-plate
item, quantum-processor
item, fusion-power-cell
item, automation-science-pack
item, logistic-science-pack
item, military-science-pack
item, chemical-science-pack
item, production-science-pack
item, utility-science-pack
item, space-science-pack
item, metallurgic-science-pack
item, electromagnetic-science-pack
item, agricultural-science-pack
item, cryogenic-science-pack
item, promethium-science-pack
item, rocket-silo
item, cargo-landing-pad
item, space-platform-foundation
item, cargo-bay
item, asteroid-collector
item, crusher
item, thruster
item, space-platform-starter-pack
item, metallic-asteroid-chunk
item, carbonic-asteroid-chunk
item, oxide-asteroid-chunk
item, promethium-asteroid-chunk
item, pistol
item, submachine-gun
item, railgun
item, teslagun
item, shotgun
item, combat-shotgun
item, rocket-launcher
item, flamethrower
item, firearm-magazine
item, piercing-rounds-magazine
item, uranium-rounds-magazine
item, shotgun-shell
item, piercing-shotgun-shell
item, cannon-shell
item, explosive-cannon-shell
item, uranium-cannon-shell
item, explosive-uranium-cannon-shell
item, artillery-shell
item, rocket
item, explosive-rocket
item, atomic-bomb
item, capture-robot-rocket
item, flamethrower-ammo
item, railgun-ammo
item, tesla-ammo
item, grenade
item, cluster-grenade
item, poison-capsule
item, slowdown-capsule
item, defender-capsule
item, distractor-capsule
item, destroyer-capsule
item, light-armor
item, heavy-armor
item, modular-armor
item, power-armor
item, power-armor-mk2
item, mech-armor
item, solar-panel-equipment
item, fission-reactor-equipment
item, fusion-reactor-equipment
item, battery-equipment
item, battery-mk2-equipment
item, battery-mk3-equipment
item, belt-immunity-equipment
item, exoskeleton-equipment
item, personal-roboport-equipment
item, personal-roboport-mk2-equipment
item, night-vision-equipment
item, toolbelt-equipment
item, energy-shield-equipment
item, energy-shield-mk2-equipment
item, personal-laser-defense-equipment
item, discharge-defense-equipment
item, stone-wall
item, gate
item, radar
item, land-mine
item, gun-turret
item, laser-turret
item, flamethrower-turret
item, artillery-turret
item, rocket-turret
item, tesla-turret
item, railgun-turret
item, parameter-0
item, parameter-1
item, parameter-2
item, parameter-3
item, parameter-4
item, parameter-5
item, parameter-6
item, parameter-7
item, parameter-8
item, parameter-9
item, copper-wire
item, green-wire
item, red-wire
item, spidertron-remote
item, discharge-defense-remote
item, artillery-targeting-remote
fluid, water
fluid, steam
fluid, crude-oil
fluid, petroleum-gas
fluid, light-oil
fluid, heavy-oil
fluid, lubricant
fluid, sulfuric-acid
fluid, thruster-fuel
fluid, thruster-oxidizer
fluid, lava
fluid, molten-iron
fluid, molten-copper
fluid, holmium-solution
fluid, electrolyte
fluid, ammoniacal-solution
fluid, ammonia
fluid, fluorine
fluid, fluoroketone-hot
fluid, fluoroketone-cold
fluid, lithium-brine
fluid, fusion-plasma
fluid, parameter-0
fluid, parameter-1
fluid, parameter-2
fluid, parameter-3
fluid, parameter-4
fluid, parameter-5
fluid, parameter-6
fluid, parameter-7
fluid, parameter-8
fluid, parameter-9
virtual, signal-0
virtual, signal-1
virtual, signal-2
virtual, signal-3
virtual, signal-4
virtual, signal-5
virtual, signal-6
virtual, signal-7
virtual, signal-8
virtual, signal-9
virtual, signal-A
virtual, signal-B
virtual, signal-C
virtual, signal-D
virtual, signal-E
virtual, signal-F
virtual, signal-G
virtual, signal-H
virtual, signal-I
virtual, signal-J
virtual, signal-K
virtual, signal-L
virtual, signal-M
virtual, signal-N
virtual, signal-O
virtual, signal-P
virtual, signal-Q
virtual, signal-R
virtual, signal-S
virtual, signal-T
virtual, signal-U
virtual, signal-V
virtual, signal-W
virtual, signal-X
virtual, signal-Y
virtual, signal-Z
virtual, signal-red
virtual, signal-green
virtual, signal-blue
virtual, signal-yellow
virtual, signal-pink
virtual, signal-cyan
virtual, signal-white
virtual, signal-grey
virtual, signal-black
virtual, signal-check
virtual, signal-deny
virtual, signal-info
virtual, signal-dot
virtual, shape-vertical
virtual, shape-horizontal
virtual, shape-diagonal
virtual, shape-curve
virtual, shape-cross
virtual, shape-diagonal-cross
virtual, shape-corner
virtual, shape-t
virtual, shape-circle
virtual, up-arrow
virtual, up-right-arrow
virtual, right-arrow
virtual, down-right-arrow
virtual, down-arrow
virtual, down-left-arrow
virtual, left-arrow
virtual, up-left-arrow
virtual, signal-stack-size
virtual, signal-heart
virtual, signal-skull
virtual, signal-ghost
virtual, signal-any-quality
recipe, wooden-chest
recipe, iron-chest
recipe, steel-chest
recipe, storage-tank
recipe, transport-belt
recipe, fast-transport-belt
recipe, express-transport-belt
recipe, turbo-transport-belt
recipe, underground-belt
recipe, fast-underground-belt
recipe, express-underground-belt
recipe, turbo-underground-belt
recipe, splitter
recipe, fast-splitter
recipe, express-splitter
recipe, turbo-splitter
recipe, burner-inserter
recipe, inserter
recipe, long-handed-inserter
recipe, fast-inserter
recipe, bulk-inserter
recipe, stack-inserter
recipe, small-electric-pole
recipe, medium-electric-pole
recipe, big-electric-pole
recipe, substation
recipe, pipe
recipe, pipe-to-ground
recipe, casting-pipe
recipe, casting-pipe-to-ground
recipe, pump
recipe, rail
recipe, rail-ramp
recipe, rail-support
recipe, train-stop
recipe, rail-signal
recipe, rail-chain-signal
recipe, locomotive
recipe, cargo-wagon
recipe, fluid-wagon
recipe, artillery-wagon
recipe, car
recipe, tank
recipe, spidertron
recipe, logistic-robot
recipe, construction-robot
recipe, active-provider-chest
recipe, passive-provider-chest
recipe, storage-chest
recipe, buffer-chest
recipe, requester-chest
recipe, roboport
recipe, small-lamp
recipe, arithmetic-combinator
recipe, decider-combinator
recipe, selector-combinator
recipe, constant-combinator
recipe, power-switch
recipe, programmable-speaker
recipe, display-panel
recipe, stone-brick
recipe, concrete
recipe, hazard-concrete
recipe, refined-concrete
recipe, refined-hazard-concrete
recipe, landfill
recipe, artificial-yumako-soil
recipe, overgrowth-yumako-soil
recipe, artificial-jellynut-soil
recipe, overgrowth-jellynut-soil
recipe, ice-platform
recipe, foundation
recipe, cliff-explosives
recipe, repair-pack
recipe, boiler
recipe, steam-engine
recipe, solar-panel
recipe, accumulator
recipe, nuclear-reactor
recipe, heat-pipe
recipe, heat-exchanger
recipe, steam-turbine
recipe, fusion-reactor
recipe, fusion-generator
recipe, burner-mining-drill
recipe, electric-mining-drill
recipe, big-mining-drill
recipe, offshore-pump
recipe, pumpjack
recipe, stone-furnace
recipe, steel-furnace
recipe, electric-furnace
recipe, foundry
recipe, recycler
recipe, agricultural-tower
recipe, biochamber
recipe, captive-biter-spawner
recipe, assembling-machine-1
recipe, assembling-machine-2
recipe, assembling-machine-3
recipe, oil-refinery
recipe, chemical-plant
recipe, centrifuge
recipe, electromagnetic-plant
recipe, cryogenic-plant
recipe, lab
recipe, biolab
recipe, lightning-rod
recipe, lightning-collector
recipe, heating-tower
recipe, beacon
recipe, speed-module
recipe, speed-module-2
recipe, speed-module-3
recipe, efficiency-module
recipe, efficiency-module-2
recipe, efficiency-module-3
recipe, productivity-module
recipe, productivity-module-2
recipe, productivity-module-3
recipe, quality-module
recipe, quality-module-2
recipe, quality-module-3
recipe, basic-oil-processing
recipe, advanced-oil-processing
recipe, simple-coal-liquefaction
recipe, coal-liquefaction
recipe, heavy-oil-cracking
recipe, light-oil-cracking
recipe, solid-fuel-from-petroleum-gas
recipe, solid-fuel-from-light-oil
recipe, solid-fuel-from-heavy-oil
recipe, lubricant
recipe, sulfuric-acid
recipe, acid-neutralisation
recipe, steam-condensation
recipe, ice-melting
recipe, iron-plate
recipe, copper-plate
recipe, steel-plate
recipe, plastic-bar
recipe, sulfur
recipe, battery
recipe, explosives
recipe, carbon
recipe, coal-synthesis
recipe, water-barrel
recipe, crude-oil-barrel
recipe, petroleum-gas-barrel
recipe, light-oil-barrel
recipe, heavy-oil-barrel
recipe, lubricant-barrel
recipe, sulfuric-acid-barrel
recipe, fluoroketone-hot-barrel
recipe, fluoroketone-cold-barrel
recipe, empty-water-barrel
recipe, empty-crude-oil-barrel
recipe, empty-petroleum-gas-barrel
recipe, empty-light-oil-barrel
recipe, empty-heavy-oil-barrel
recipe, empty-lubricant-barrel
recipe, empty-sulfuric-acid-barrel
recipe, empty-fluoroketone-hot-barrel
recipe, empty-fluoroketone-cold-barrel
recipe, iron-gear-wheel
recipe, iron-stick
recipe, copper-cable
recipe, barrel
recipe, electronic-circuit
recipe, advanced-circuit
recipe, processing-unit
recipe, engine-unit
recipe, electric-engine-unit
recipe, flying-robot-frame
recipe, low-density-structure
recipe, rocket-fuel
recipe, rocket-part
recipe, uranium-processing
recipe, uranium-fuel-cell
recipe, nuclear-fuel-reprocessing
recipe, kovarex-enrichment-process
recipe, nuclear-fuel
recipe, molten-iron-from-lava
recipe, molten-copper-from-lava
recipe, molten-iron
recipe, molten-copper
recipe, casting-iron
recipe, casting-copper
recipe, casting-steel
recipe, casting-iron-gear-wheel
recipe, casting-iron-stick
recipe, casting-low-density-structure
recipe, concrete-from-molten-iron
recipe, casting-copper-cable
recipe, tungsten-carbide
recipe, tungsten-plate
recipe, scrap-recycling
recipe, holmium-solution
recipe, holmium-plate
recipe, superconductor
recipe, electrolyte
recipe, supercapacitor
recipe, yumako-processing
recipe, jellynut-processing
recipe, nutrients-from-spoilage
recipe, nutrients-from-yumako-mash
recipe, nutrients-from-bioflux
recipe, pentapod-egg
recipe, iron-bacteria
recipe, copper-bacteria
recipe, iron-bacteria-cultivation
recipe, copper-bacteria-cultivation
recipe, rocket-fuel-from-jelly
recipe, biolubricant
recipe, bioplastic
recipe, biosulfur
recipe, bioflux
recipe, burnt-spoilage
recipe, carbon-fiber
recipe, biter-egg
recipe, wood-processing
recipe, fish-breeding
recipe, nutrients-from-fish
recipe, nutrients-from-biter-egg
recipe, ammoniacal-solution-separation
recipe, solid-fuel-from-ammonia
recipe, ammonia-rocket-fuel
recipe, fluoroketone
recipe, fluoroketone-cooling
recipe, lithium
recipe, lithium-plate
recipe, quantum-processor
recipe, fusion-power-cell
recipe, automation-science-pack
recipe, logistic-science-pack
recipe, military-science-pack
recipe, chemical-science-pack
recipe, production-science-pack
recipe, utility-science-pack
recipe, space-science-pack
recipe, metallurgic-science-pack
recipe, electromagnetic-science-pack
recipe, agricultural-science-pack
recipe, cryogenic-science-pack
recipe, promethium-science-pack
recipe, rocket-silo
recipe, cargo-landing-pad
recipe, space-platform-foundation
recipe, cargo-bay
recipe, asteroid-collector
recipe, crusher
recipe, thruster
recipe, space-platform-starter-pack
recipe, metallic-asteroid-crushing
recipe, metallic-asteroid-reprocessing
recipe, carbonic-asteroid-crushing
recipe, carbonic-asteroid-reprocessing
recipe, oxide-asteroid-crushing
recipe, oxide-asteroid-reprocessing
recipe, advanced-metallic-asteroid-crushing
recipe, advanced-carbonic-asteroid-crushing
